Gen 420:    maxUtil = 661.2    aveUtil = 590.558
Gen 421:    maxUtil = 664.1    aveUtil = 590.867
Gen 422:    maxUtil = 664.1    aveUtil = 590.443
Gen 423:    maxUtil = 664.1    aveUtil = 591.619
Gen 424:    maxUtil = 664.1    aveUtil = 586.191
Gen 425:    maxUtil = 664.1    aveUtil = 588.339
Gen 426:    maxUtil = 664.1    aveUtil = 586.935
Gen 427:    maxUtil = 664.1    aveUtil = 588.974
Gen 428:    maxUtil = 664.1    aveUtil = 591.221
Gen 429:    maxUtil = 664.1    aveUtil = 589.569
Gen 430:    maxUtil = 664.1    aveUtil = 588.32
Gen 431:    maxUtil = 664.1    aveUtil = 583.592
Gen 432:    maxUtil = 664.1    aveUtil = 589.989
Gen 433:    maxUtil = 664.1    aveUtil = 593.117
Gen 434:    maxUtil = 664.1    aveUtil = 593.854
Gen 435:    maxUtil = 664.1    aveUtil = 593.0
Gen 436:    maxUtil = 664.1    aveUtil = 592.36
Gen 437:    maxUtil = 664.1    aveUtil = 592.152
Gen 438:    maxUtil = 664.1    aveUtil = 591.565
Gen 439:    maxUtil = 664.1    aveUtil = 596.25
Gen 440:    maxUtil = 664.1    aveUtil = 592.013
Gen 441:    maxUtil = 664.1    aveUtil = 594.544
Gen 442:    maxUtil = 667.9    aveUtil = 596.921
Gen 443:    maxUtil = 667.9    aveUtil = 596.13
Gen 444:    maxUtil = 667.9    aveUtil = 600.17
Gen 445:    maxUtil = 670.6    aveUtil = 598.759
Gen 446:    maxUtil = 673.8    aveUtil = 593.839
Gen 447:    maxUtil = 673.8    aveUtil = 598.223
Gen 448:    maxUtil = 673.8    aveUtil = 598.139
Gen 449:    maxUtil = 673.8    aveUtil = 596.32
Gen 450:    maxUtil = 673.8    aveUtil = 600.796
Gen 451:    maxUtil = 673.8    aveUtil = 602.037
Gen 452:    maxUtil = 673.8    aveUtil = 599.846
Gen 453:    maxUtil = 673.8    aveUtil = 602.372
Gen 454:    maxUtil = 673.8    aveUtil = 601.634
Gen 455:    maxUtil = 673.8    aveUtil = 601.733
Gen 456:    maxUtil = 673.8    aveUtil = 603.153
Gen 457:    maxUtil = 673.8    aveUtil = 602.15
Gen 458:    maxUtil = 673.8    aveUtil = 604.164
Gen 459:    maxUtil = 673.8    aveUtil = 602.733
Gen 460:    maxUtil = 673.8    aveUtil = 602.695
Gen 461:    maxUtil = 673.8    aveUtil = 606.051
Gen 462:    maxUtil = 673.8    aveUtil = 607.752
Gen 463:    maxUtil = 673.8    aveUtil = 602.35
Gen 464:    maxUtil = 673.8    aveUtil = 603.595
Gen 465:    maxUtil = 673.8    aveUtil = 604.813
Gen 466:    maxUtil = 673.8    aveUtil = 606.551
Gen 467:    maxUtil = 673.8    aveUtil = 602.958
Gen 468:    maxUtil = 673.8    aveUtil = 595.411
Gen 469:    maxUtil = 673.8    aveUtil = 603.206
Gen 470:    maxUtil = 673.8    aveUtil = 598.22
Gen 471:    maxUtil = 673.8    aveUtil = 599.031
Gen 472:    maxUtil = 673.8    aveUtil = 604.355
Gen 473:    maxUtil = 673.8    aveUtil = 602.95
Gen 474:    maxUtil = 673.8    aveUtil = 602.685
Gen 475:    maxUtil = 673.8    aveUtil = 604.403
Gen 476:    maxUtil = 673.8    aveUtil = 608.079
Gen 477:    maxUtil = 673.8    aveUtil = 599.265
Gen 478:    maxUtil = 673.8    aveUtil = 600.705
Gen 479:    maxUtil = 673.8    aveUtil = 602.467
Gen 480:    maxUtil = 673.8    aveUtil = 599.194
Gen 481:    maxUtil = 673.8    aveUtil = 606.329
Gen 482:    maxUtil = 679.3    aveUtil = 606.573
