Gen 582:   aveUtil = 632.861
Gen 583:   aveUtil = 635.255
Gen 584:   aveUtil = 636.457
Gen 585:   aveUtil = 633.306
Gen 586:   aveUtil = 633.634
Gen 587:   aveUtil = 636.066
Gen 588:   aveUtil = 635.744
Gen 589:   aveUtil = 637.294
Gen 590:   aveUtil = 633.707
Gen 591:   aveUtil = 633.783
Gen 592:   aveUtil = 635.58
Gen 593:   aveUtil = 634.367
Gen 594:   aveUtil = 635.013
Gen 595:   aveUtil = 635.263
Gen 596:   aveUtil = 634.941
Gen 597:   aveUtil = 634.055
Gen 598:   aveUtil = 635.271
Gen 599:   aveUtil = 634.605
Gen 600:   aveUtil = 633.582
Gen 601:   aveUtil = 638.017
Gen 602:   aveUtil = 635.779
Gen 603:   aveUtil = 635.4
Gen 604:   aveUtil = 636.704
Gen 605:   aveUtil = 638.04
Gen 606:   aveUtil = 633.071
Gen 607:   aveUtil = 636.809
Gen 608:   aveUtil = 636.459
Gen 609:   aveUtil = 636.654
Gen 610:   aveUtil = 635.941
Gen 611:   aveUtil = 638.21
Gen 612:   aveUtil = 636.336
Gen 613:   aveUtil = 635.45
Gen 614:   aveUtil = 638.998
Gen 615:   aveUtil = 636.239
Gen 616:   aveUtil = 637.327
Gen 617:   aveUtil = 637.141
Gen 618:   aveUtil = 639.783
Gen 619:   aveUtil = 638.23
Gen 620:   aveUtil = 637.899
Gen 621:   aveUtil = 641.832
Gen 622:   aveUtil = 640.871
Gen 623:   aveUtil = 641.084
Gen 624:   aveUtil = 638.078
Gen 625:   aveUtil = 640.863
Gen 626:   aveUtil = 642.001
Gen 627:   aveUtil = 641.234
Gen 628:   aveUtil = 639.268
Gen 629:   aveUtil = 638.307
Gen 630:   aveUtil = 638.567
Gen 631:   aveUtil = 639.233
Gen 632:   aveUtil = 641.02
Gen 633:   aveUtil = 641.823
Gen 634:   aveUtil = 640.097
Gen 635:   aveUtil = 639.428
Gen 636:   aveUtil = 642.833
Gen 637:   aveUtil = 641.947
Gen 638:   aveUtil = 645.188
Gen 639:   aveUtil = 643.265
Gen 640:   aveUtil = 647.743
Gen 641:   aveUtil = 644.192
Gen 642:   aveUtil = 645.404
