Gen 731:    aveUtil = 616.842
Gen 732:    aveUtil = 617.831
Gen 733:    aveUtil = 615.098
Gen 734:    aveUtil = 616.743
Gen 735:    aveUtil = 617.486
Gen 736:    aveUtil = 613.43
Gen 737:    aveUtil = 614.125
Gen 738:    aveUtil = 619.513
Gen 739:    aveUtil = 619.727
Gen 740:    aveUtil = 619.259
Gen 741:    aveUtil = 622.603
Gen 742:    aveUtil = 618.416
Gen 743:    aveUtil = 622.989
Gen 744:    aveUtil = 619.575
Gen 745:    aveUtil = 618.803
Gen 746:    aveUtil = 622.008
Gen 747:    aveUtil = 618.693
Gen 748:    aveUtil = 618.253
Gen 749:    aveUtil = 619.196
Gen 750:    aveUtil = 625.059
Gen 751:    aveUtil = 616.564
Gen 752:    aveUtil = 620.792
Gen 753:    aveUtil = 619.474
Gen 754:    aveUtil = 622.493
Gen 755:    aveUtil = 612.812
Gen 756:    aveUtil = 614.313
Gen 757:    aveUtil = 620.657
Gen 758:    aveUtil = 618.617
Gen 759:    aveUtil = 618.722
Gen 760:    aveUtil = 624.193
Gen 761:    aveUtil = 621.464
Gen 762:    aveUtil = 623.472
Gen 763:    aveUtil = 622.792
Gen 764:    aveUtil = 621.772
Gen 765:    aveUtil = 622.381
Gen 766:    aveUtil = 626.241
Gen 767:    aveUtil = 627.188
Gen 768:    aveUtil = 627.996
Gen 769:    aveUtil = 624.437
Gen 770:    aveUtil = 622.674
Gen 771:    aveUtil = 626.063
Gen 772:    aveUtil = 624.91
Gen 773:    aveUtil = 618.471
Gen 774:    aveUtil = 622.77
Gen 775:    aveUtil = 624.152
Gen 776:    aveUtil = 620.801
Gen 777:    aveUtil = 625.058
