Gen 605:    aveUtil = 490.6208000000011
Gen 606:    aveUtil = 488.70580000000086
Gen 607:    aveUtil = 489.5862000000009
Gen 608:    aveUtil = 491.5502000000006
Gen 609:    aveUtil = 487.611600000001
Gen 610:    aveUtil = 497.31740000000025
Gen 611:    aveUtil = 492.4970000000007
Gen 612:    aveUtil = 502.31640000000056
Gen 613:    aveUtil = 499.2032000000007
Gen 614:    aveUtil = 498.5968000000003
Gen 615:    aveUtil = 499.07700000000017
Gen 616:    aveUtil = 501.57060000000087
Gen 617:    aveUtil = 504.38040000000103
Gen 618:    aveUtil = 501.09100000000024
Gen 619:    aveUtil = 503.61700000000036
Gen 620:    aveUtil = 492.3382000000003
Gen 621:    aveUtil = 502.68280000000016
Gen 622:    aveUtil = 503.9818000000004
Gen 623:    aveUtil = 501.88520000000017
Gen 624:    aveUtil = 504.8029999999998
Gen 625:    aveUtil = 502.37480000000033
Gen 626:    aveUtil = 509.5256000000002
Gen 627:    aveUtil = 500.12019999999995
Gen 628:    aveUtil = 500.8323999999997
Gen 629:    aveUtil = 496.90180000000004
Gen 630:    aveUtil = 492.9053999999995
Gen 631:    aveUtil = 494.42719999999986
Gen 632:    aveUtil = 500.5145999999996
Gen 633:    aveUtil = 499.8759999999991
Gen 634:    aveUtil = 498.01259999999917
Gen 635:    aveUtil = 490.02559999999943
Gen 636:    aveUtil = 481.04599999999976
Gen 637:    aveUtil = 489.61579999999924
Gen 638:    aveUtil = 489.195199999999
Gen 639:    aveUtil = 483.8387999999996
Gen 640:    aveUtil = 493.2663999999998
